Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,sentiment,Vehicle_Age_< 1 Year,Vehicle_Age_> 2 Years
1,68,1,14.0,1,0,24209.0,26.0,98,0,0,False,False
1,26,1,11.0,1,0,23432.0,152.0,133,0,0,True,False
1,23,1,30.0,1,0,24391.0,152.0,74,0,0,True,False
0,23,1,28.0,0,1,38426.0,124.0,289,1,1,True,False
0,22,1,6.0,0,1,26135.0,152.0,103,0,0,True,False
0,33,1,2.0,0,1,2630.0,157.0,197,1,1,False,False
1,24,1,13.0,0,1,27813.0,152.0,24,1,1,True,False
0,75,1,30.0,0,0,2630.0,1.0,276,0,0,True,False
1,24,1,15.0,0,0,41305.0,152.0,285,0,0,True,False
1,26,1,16.0,1,0,2630.0,160.0,257,0,0,True,False
0,21,1,46.0,1,0,26116.0,160.0,194,0,0,True,False
0,27,1,3.0,1,0,2630.0,157.0,128,0,0,False,False
0,26,1,3.0,0,1,2630.0,160.0,29,0,0,True,False
0,36,1,41.0,1,0,37228.0,152.0,260,0,0,False,False
1,20,1,6.0,0,1,19033.0,160.0,94,0,0,True,False
0,24,1,41.0,1,0,29461.0,160.0,273,0,0,True,False
0,70,1,28.0,1,1,43438.0,26.0,222,0,0,False,False
1,59,1,47.0,0,1,17071.0,16.0,256,1,1,False,True
1,62,1,28.0,0,1,50447.0,26.0,102,0,0,False,True
1,44,1,28.0,0,1,53743.0,26.0,146,1,1,False,False
0,45,1,28.0,0,1,39466.0,55.0,64,0,0,False,False
0,23,1,30.0,0,1,26706.0,152.0,291,0,0,True,False
0,41,1,15.0,0,1,22138.0,157.0,174,0,0,False,False
1,24,1,25.0,1,0,23308.0,152.0,290,0,0,True,False
0,37,1,28.0,0,1,2630.0,154.0,189,0,0,False,False
1,23,1,29.0,1,0,25260.0,152.0,11,0,0,True,False
0,33,1,8.0,1,0,36058.0,152.0,112,0,0,True,False
0,36,1,50.0,1,1,25210.0,154.0,199,0,0,False,False
1,21,1,28.0,0,1,52252.0,26.0,277,0,0,True,False
0,23,1,14.0,0,1,20184.0,152.0,143,0,0,True,False
1,65,1,45.0,0,1,39458.0,124.0,201,0,0,False,False
1,25,1,15.0,1,0,45094.0,152.0,154,0,0,True,False
1,26,1,11.0,1,0,29628.0,152.0,246,0,0,True,False
1,32,1,41.0,1,0,35553.0,152.0,43,0,0,True,False
1,63,1,28.0,0,1,59269.0,124.0,292,0,0,False,True
1,22,1,14.0,1,0,30457.0,152.0,163,0,0,True,False
1,68,1,50.0,1,0,39026.0,26.0,293,0,0,False,False
0,24,1,45.0,0,1,24060.0,152.0,283,0,0,True,False
1,37,1,28.0,0,1,34177.0,26.0,142,0,0,False,False
0,21,1,7.0,0,0,28416.0,152.0,92,0,0,True,False
0,25,1,8.0,0,1,40191.0,152.0,185,0,0,True,False
1,26,1,11.0,1,0,32588.0,152.0,272,0,0,True,False
0,58,1,28.0,0,1,27106.0,124.0,65,0,0,False,False
0,26,1,41.0,1,0,22219.0,152.0,49,0,0,True,False
0,61,1,28.0,0,1,46896.0,125.0,118,0,0,False,False
1,47,1,28.0,1,0,49929.0,26.0,38,0,0,False,False
0,58,1,29.0,0,1,32446.0,26.0,245,0,0,False,False
1,40,1,28.0,0,1,36142.0,124.0,285,0,0,False,False
0,29,1,24.0,0,1,24547.0,152.0,226,0,0,True,False
1,55,1,28.0,0,0,34367.0,124.0,159,0,0,False,False
1,61,1,47.0,0,1,46566.0,124.0,194,0,0,False,True
0,24,1,28.0,0,1,38949.0,152.0,163,0,0,True,False
1,22,1,45.0,1,0,27403.0,152.0,81,0,0,True,False
0,69,1,28.0,1,0,88733.0,26.0,39,0,0,False,False
1,25,1,15.0,1,0,29082.0,152.0,282,0,0,True,False
1,24,1,50.0,1,0,42107.0,152.0,253,0,0,True,False
1,48,1,28.0,0,1,38660.0,26.0,256,0,0,False,False
0,21,1,8.0,1,0,53984.0,160.0,26,0,0,True,False
0,23,1,11.0,1,0,29432.0,152.0,43,0,0,True,False
0,57,1,24.0,0,1,2630.0,156.0,250,0,0,False,False
0,54,1,28.0,0,1,54393.0,26.0,169,0,0,False,True
0,23,1,13.0,1,0,28760.0,152.0,166,0,0,True,False
1,50,1,28.0,0,1,30105.0,13.0,101,0,0,False,True
0,68,1,45.0,0,1,2630.0,26.0,23,0,0,False,True
1,54,1,28.0,0,1,41000.0,124.0,275,0,0,False,False
0,36,1,28.0,0,0,42310.0,124.0,267,0,0,False,False
1,22,1,9.0,0,1,41515.0,152.0,272,0,0,True,False
0,21,1,29.0,1,0,37813.0,152.0,266,0,0,True,False
1,64,1,28.0,0,1,68901.0,124.0,157,0,0,False,False
0,53,1,41.0,1,0,33424.0,124.0,28,0,0,False,False
1,43,1,8.0,0,1,37964.0,124.0,113,0,0,False,False
1,47,1,50.0,0,1,38019.0,18.0,128,0,0,False,False
1,43,1,37.0,1,0,30226.0,26.0,27,0,0,False,False
0,25,1,23.0,1,0,27285.0,152.0,201,0,0,True,False
1,26,1,15.0,1,0,26912.0,152.0,94,0,0,True,False
0,27,1,41.0,1,0,29107.0,152.0,46,0,0,True,False
0,24,1,28.0,1,0,47506.0,152.0,164,0,0,True,False
0,54,1,3.0,0,1,33861.0,124.0,74,0,0,False,False
0,71,1,28.0,0,1,42812.0,26.0,170,0,0,False,False
1,80,1,45.0,1,0,31667.0,26.0,107,0,0,False,False
1,77,1,28.0,0,1,48880.0,26.0,294,0,0,False,False
1,64,1,23.0,0,1,28602.0,26.0,244,0,0,False,False
1,57,1,3.0,1,0,29053.0,26.0,205,0,0,False,False
1,58,1,28.0,0,1,33220.0,60.0,48,1,1,False,False
1,28,1,8.0,1,0,61626.0,26.0,240,0,0,True,False
1,50,1,46.0,0,0,31219.0,124.0,118,0,0,False,False
0,50,1,46.0,1,0,34327.0,124.0,105,0,0,False,False
1,43,1,8.0,0,1,40906.0,26.0,121,0,0,False,False
0,24,1,41.0,1,0,2630.0,152.0,64,0,0,True,False
1,27,1,17.0,0,1,43535.0,26.0,243,0,0,True,False
1,45,1,28.0,1,0,28308.0,26.0,100,0,0,False,False
0,78,1,8.0,0,1,2630.0,25.0,248,0,0,False,False
0,31,1,28.0,0,1,81316.0,154.0,81,0,0,True,False
1,48,1,8.0,0,1,40662.0,7.0,239,0,0,False,True
1,41,1,28.0,1,0,31971.0,152.0,149,0,0,False,False
1,39,1,28.0,0,1,31032.0,26.0,181,0,0,False,False
1,24,1,18.0,0,1,16728.0,124.0,16,1,1,False,False
0,25,1,28.0,1,0,48620.0,152.0,291,0,0,True,False
1,51,1,28.0,0,1,30167.0,24.0,81,1,1,False,False
1,47,1,28.0,0,1,66710.0,125.0,292,1,1,False,False
1,28,1,46.0,1,0,29337.0,152.0,299,0,0,True,False
1,44,1,41.0,0,0,33798.0,124.0,286,0,0,False,False
1,25,1,33.0,0,1,32144.0,152.0,114,0,0,True,False
1,21,1,15.0,0,1,31121.0,152.0,112,0,0,True,False
1,30,1,33.0,1,0,29179.0,26.0,256,0,0,False,False
1,30,1,23.0,0,1,2630.0,156.0,63,1,1,False,False
0,47,1,29.0,0,0,29825.0,26.0,129,0,0,False,False
1,41,1,28.0,0,1,33817.0,25.0,25,0,0,False,False
1,25,1,36.0,1,0,31086.0,152.0,258,0,0,True,False
1,34,1,28.0,0,0,25829.0,154.0,154,0,0,False,False
0,44,1,50.0,1,0,25281.0,124.0,58,0,0,False,False
1,70,1,28.0,0,1,51881.0,124.0,139,0,0,False,False
0,38,1,7.0,1,0,38847.0,152.0,175,0,0,False,False
1,67,1,41.0,1,0,44493.0,12.0,76,0,0,False,False
1,26,1,28.0,1,0,53285.0,152.0,73,0,0,True,False
0,24,1,8.0,1,0,22622.0,160.0,24,0,0,True,False
1,30,1,8.0,0,1,41158.0,26.0,183,0,0,True,False
0,22,1,46.0,1,0,27528.0,152.0,109,0,0,True,False
1,22,1,46.0,1,0,25126.0,152.0,100,0,0,True,False
0,37,1,28.0,0,1,40689.0,26.0,267,1,1,False,False
1,24,1,17.0,1,0,2630.0,152.0,131,0,0,True,False
0,29,1,15.0,0,1,37000.0,154.0,140,0,0,False,False
0,25,1,46.0,1,0,2630.0,152.0,162,0,0,True,False
0,51,1,29.0,0,1,22067.0,26.0,230,0,0,False,False
1,25,1,10.0,1,0,22069.0,152.0,93,0,0,True,False
0,65,1,40.0,1,0,31912.0,26.0,43,0,0,False,False
0,25,1,30.0,0,1,25302.0,152.0,228,0,0,True,False
0,27,1,50.0,1,0,56392.0,152.0,137,0,0,True,False
1,67,1,28.0,0,1,2630.0,124.0,46,0,0,False,False
0,47,1,28.0,1,0,52521.0,26.0,21,0,0,False,False
0,42,1,39.0,0,1,2630.0,156.0,116,0,0,False,False
0,28,1,50.0,1,0,25423.0,152.0,263,0,0,True,False
0,22,1,4.0,0,1,44878.0,152.0,226,0,0,True,False
0,74,1,8.0,1,1,2630.0,7.0,234,0,0,False,False
0,35,1,28.0,1,0,29279.0,152.0,141,0,0,False,False
1,40,1,28.0,1,0,2630.0,26.0,157,0,0,False,False
0,37,1,14.0,1,0,21253.0,152.0,183,0,0,False,False
0,42,1,28.0,1,0,45778.0,124.0,94,0,0,False,False
1,52,1,11.0,0,1,24425.0,120.0,104,0,0,False,False
0,25,1,36.0,0,1,31080.0,152.0,212,0,0,True,False
1,71,1,8.0,1,0,36603.0,26.0,89,0,0,False,False
1,39,1,29.0,1,0,26043.0,124.0,103,0,0,False,False
1,58,1,46.0,1,0,33172.0,11.0,210,0,0,False,False
1,21,1,41.0,0,1,36695.0,160.0,238,0,0,True,False
0,21,1,36.0,0,1,26980.0,160.0,204,0,0,True,False
0,25,1,36.0,1,0,27452.0,152.0,146,0,0,True,False
0,21,1,8.0,1,0,29266.0,160.0,251,0,0,True,False
1,46,1,28.0,0,1,28742.0,124.0,183,0,0,False,False
0,24,1,28.0,0,1,34972.0,152.0,123,0,0,True,False
1,27,1,33.0,1,0,30913.0,124.0,237,0,0,False,False
0,27,1,34.0,0,1,26711.0,152.0,266,0,0,True,False
1,48,1,28.0,0,1,31101.0,26.0,103,0,0,False,True
1,38,1,28.0,0,1,28978.0,122.0,42,0,0,False,False
1,45,1,28.0,0,1,33730.0,26.0,150,1,1,False,False
1,26,1,14.0,0,1,35781.0,152.0,127,1,1,True,False
0,24,1,6.0,1,0,26704.0,152.0,79,0,0,True,False
1,25,1,21.0,1,0,27175.0,152.0,280,0,0,True,False
1,34,1,28.0,0,1,28090.0,26.0,260,0,0,False,False
1,36,1,7.0,0,1,2630.0,156.0,204,1,1,False,False
0,25,1,41.0,1,0,31787.0,152.0,59,0,0,True,False
0,41,1,28.0,0,1,38461.0,26.0,197,0,0,False,False
1,68,1,28.0,1,0,35429.0,122.0,64,0,0,False,False
0,23,1,15.0,0,0,27504.0,152.0,42,0,0,True,False
0,44,1,28.0,0,1,44253.0,26.0,242,1,1,False,True
1,20,1,34.0,1,0,2630.0,160.0,167,0,0,True,False
0,37,1,30.0,1,0,31814.0,152.0,145,0,0,False,False
1,68,1,28.0,1,0,37536.0,122.0,190,0,0,False,False
1,35,1,28.0,0,0,39482.0,124.0,159,0,0,False,False
0,26,1,29.0,1,0,30990.0,152.0,68,0,0,True,False
1,26,1,28.0,1,1,47828.0,163.0,106,0,0,True,False
0,33,1,8.0,0,1,31244.0,155.0,118,0,0,False,False
0,38,1,7.0,0,0,40573.0,156.0,231,0,0,False,False
0,44,1,46.0,1,1,22313.0,11.0,42,0,0,False,False
0,57,1,28.0,0,1,54522.0,26.0,213,0,0,False,True
1,36,1,6.0,1,0,41618.0,152.0,178,0,0,False,False
0,38,1,3.0,0,1,20745.0,124.0,25,0,0,False,False
0,44,1,28.0,0,1,56520.0,26.0,47,0,0,False,False
1,34,1,15.0,0,1,2630.0,156.0,189,0,0,False,False
1,38,1,46.0,0,1,2630.0,156.0,172,0,0,False,True
0,52,1,31.0,1,0,2630.0,26.0,136,0,0,False,False
0,42,1,28.0,0,1,28768.0,24.0,207,0,0,False,False
1,25,1,31.0,1,0,2630.0,152.0,87,0,0,True,False
1,27,1,14.0,1,0,28288.0,152.0,199,0,0,True,False
1,45,1,41.0,0,1,37935.0,26.0,19,0,0,False,False
1,45,1,37.0,0,1,25941.0,128.0,37,0,0,False,False
1,38,1,28.0,1,0,2630.0,26.0,271,0,0,False,False
0,21,1,35.0,1,0,19545.0,160.0,15,0,0,True,False
0,23,1,11.0,1,0,29825.0,152.0,156,0,0,True,False
0,25,1,8.0,1,0,48065.0,152.0,269,0,0,True,False
1,73,1,8.0,0,1,2630.0,26.0,105,0,0,False,False
0,44,1,23.0,0,1,19349.0,124.0,99,0,0,False,False
0,39,1,28.0,0,1,52259.0,24.0,179,0,0,False,False
0,22,1,36.0,1,0,31642.0,152.0,214,0,0,True,False
0,62,1,28.0,0,1,41246.0,3.0,38,0,0,False,False
1,21,1,8.0,0,0,53680.0,160.0,200,0,0,True,False
1,33,1,3.0,0,0,37626.0,152.0,209,0,0,True,False
1,24,1,47.0,0,0,2630.0,152.0,96,0,0,True,False
1,42,1,18.0,0,1,32149.0,26.0,258,1,1,False,False
1,50,1,38.0,0,1,34841.0,156.0,146,1,1,False,False
1,20,1,15.0,1,0,36961.0,160.0,92,0,0,True,False
0,49,1,28.0,0,1,2630.0,157.0,250,0,0,False,True
1,45,1,24.0,0,1,28690.0,150.0,15,0,0,False,False
1,44,1,8.0,0,1,28855.0,124.0,37,0,0,False,False
1,20,1,27.0,1,0,2630.0,160.0,204,0,0,True,False
1,44,1,28.0,1,0,47868.0,26.0,71,0,0,False,False
0,20,1,3.0,0,1,29436.0,160.0,229,0,0,True,False
0,21,1,46.0,0,1,30387.0,160.0,151,0,0,True,False
0,38,1,30.0,0,1,33786.0,124.0,149,1,1,False,False
0,24,1,51.0,1,0,40111.0,152.0,215,0,0,True,False
1,40,1,28.0,0,1,68718.0,124.0,256,0,0,False,False
1,27,1,45.0,1,0,23740.0,152.0,252,0,0,True,False
0,23,1,37.0,1,0,22189.0,152.0,124,0,0,True,False
0,22,1,2.0,0,0,33865.0,152.0,205,0,0,True,False
1,22,1,3.0,1,0,16056.0,160.0,194,0,0,True,False
1,55,1,28.0,0,1,55703.0,26.0,212,0,0,False,True
0,27,1,35.0,1,0,26050.0,152.0,201,0,0,True,False
0,33,1,28.0,0,1,2630.0,122.0,170,0,0,False,False
1,70,1,5.0,0,1,20953.0,26.0,215,1,1,False,False
1,46,1,28.0,0,1,44592.0,26.0,78,1,1,False,False
1,24,1,15.0,1,0,30659.0,152.0,193,0,0,True,False
0,38,1,4.0,1,0,38951.0,152.0,34,0,0,False,False
1,46,0,29.0,0,1,40502.0,124.0,79,0,0,False,False
1,25,1,28.0,1,0,2630.0,152.0,245,0,0,True,False
1,42,1,35.0,1,0,24190.0,124.0,73,0,0,False,False
1,47,1,11.0,0,1,27241.0,124.0,150,1,1,False,False
0,23,1,6.0,1,0,21787.0,152.0,174,0,0,True,False
1,68,1,28.0,0,1,2630.0,158.0,179,1,1,False,False
1,26,1,29.0,1,0,25135.0,152.0,144,0,0,True,False
1,37,1,28.0,0,1,23920.0,26.0,212,1,1,False,False
0,47,1,28.0,0,1,27744.0,26.0,212,0,0,False,False
1,46,1,28.0,1,0,38070.0,13.0,260,0,0,False,False
1,24,1,28.0,1,0,50529.0,152.0,117,0,0,True,False
1,24,1,11.0,1,0,29723.0,152.0,96,0,0,True,False
1,64,1,28.0,0,1,2630.0,156.0,64,0,0,False,False
0,54,1,28.0,0,1,46586.0,26.0,278,1,1,False,True
0,78,1,30.0,0,1,2630.0,26.0,121,0,0,False,False
1,27,1,8.0,1,0,25662.0,152.0,272,0,0,True,False
1,40,1,21.0,1,0,31171.0,124.0,120,0,0,False,False
0,23,1,6.0,1,0,29934.0,152.0,245,0,0,True,False
1,25,1,28.0,1,1,44338.0,152.0,52,0,0,True,False
0,22,1,27.0,0,1,29841.0,152.0,219,0,0,True,False
0,22,1,30.0,1,0,30422.0,152.0,84,0,0,True,False
0,52,1,31.0,0,1,2630.0,154.0,138,0,0,False,False
1,25,1,28.0,1,0,40540.0,152.0,169,0,0,True,False
1,41,1,29.0,0,0,29241.0,124.0,130,0,0,False,False
0,25,1,29.0,1,0,30528.0,152.0,241,0,0,True,False
0,31,1,48.0,1,0,2630.0,152.0,92,0,0,True,False
1,60,1,28.0,0,1,51602.0,124.0,259,0,0,False,False
1,42,1,22.0,0,1,29603.0,26.0,191,1,1,False,False
0,21,1,8.0,1,0,41444.0,160.0,157,0,0,True,False
1,23,1,47.0,0,1,30384.0,26.0,189,0,0,True,False
0,40,1,47.0,1,0,22684.0,29.0,63,0,0,False,False
1,25,1,28.0,0,1,38489.0,152.0,161,1,1,True,False
1,43,1,23.0,1,0,33465.0,26.0,274,0,0,False,False
0,23,1,8.0,0,1,33140.0,152.0,257,0,0,True,False
1,36,1,10.0,1,0,30925.0,152.0,198,0,0,False,False
0,23,1,36.0,0,1,27587.0,152.0,297,0,0,True,False
0,62,1,28.0,0,1,69601.0,60.0,229,0,0,False,False
0,40,1,8.0,1,0,30439.0,124.0,76,0,0,False,False
0,43,1,8.0,0,1,2630.0,124.0,120,0,0,False,False
1,29,1,11.0,1,0,26403.0,152.0,179,0,0,True,False
1,44,1,37.0,0,1,2630.0,128.0,214,0,0,False,False
1,42,1,28.0,0,1,35495.0,124.0,295,1,1,False,False
0,40,1,15.0,0,1,2630.0,160.0,60,0,0,False,False
0,63,1,46.0,0,0,41321.0,11.0,294,0,0,False,False
0,23,1,41.0,1,0,21078.0,152.0,247,0,0,True,False
0,37,1,29.0,0,1,27963.0,26.0,140,0,0,False,False
0,31,1,14.0,0,1,37907.0,26.0,107,1,1,True,False
0,25,1,11.0,1,0,2630.0,152.0,140,0,0,True,False
1,46,1,28.0,0,1,33980.0,124.0,284,0,0,False,False
0,44,1,28.0,0,1,51389.0,122.0,133,0,0,False,False
1,49,1,31.0,1,0,2630.0,26.0,95,0,0,False,False
0,20,1,50.0,0,1,44749.0,160.0,203,0,0,True,False
0,26,1,25.0,1,0,29042.0,152.0,240,0,0,True,False
1,24,1,15.0,0,1,26820.0,152.0,131,0,0,True,False
1,26,1,3.0,1,0,25317.0,152.0,287,0,0,True,False
0,22,1,15.0,1,0,28192.0,160.0,62,0,0,True,False
0,32,1,28.0,1,0,40606.0,152.0,148,0,0,True,False
1,48,1,28.0,1,0,38252.0,54.0,184,0,0,False,False
0,61,1,8.0,0,1,49243.0,7.0,235,0,0,False,True
1,23,1,41.0,0,1,23640.0,154.0,244,1,1,False,False
0,62,1,14.0,1,0,34544.0,152.0,80,0,0,False,False
0,32,1,28.0,0,1,41338.0,156.0,100,1,1,False,False
1,57,1,28.0,1,0,46283.0,124.0,149,0,0,False,False
1,55,1,28.0,0,1,48401.0,26.0,159,1,1,False,False
0,24,1,8.0,1,0,47247.0,152.0,246,0,0,True,False
1,44,1,28.0,0,1,24311.0,122.0,276,0,0,False,False
0,64,1,29.0,1,0,30211.0,152.0,41,0,0,False,False
0,31,1,28.0,0,1,2630.0,157.0,82,0,0,True,False
0,38,1,28.0,0,1,36475.0,13.0,104,0,0,False,False
1,26,1,18.0,1,0,2630.0,152.0,166,0,0,True,False
0,25,1,35.0,1,0,17081.0,152.0,113,0,0,True,False
1,27,1,45.0,0,1,28392.0,26.0,115,1,1,True,False
0,42,1,32.0,0,1,30004.0,152.0,177,0,0,False,False
1,69,1,28.0,0,1,34110.0,124.0,201,0,0,False,False
0,49,1,8.0,0,1,39645.0,124.0,54,1,1,False,False
0,53,1,28.0,0,1,42863.0,26.0,155,0,0,False,False
0,25,1,36.0,0,1,28334.0,152.0,80,0,0,True,False
0,38,1,29.0,0,1,31056.0,26.0,224,0,0,False,False
1,75,1,30.0,1,0,23823.0,26.0,133,0,0,False,False
1,24,1,6.0,1,0,26006.0,152.0,94,0,0,True,False
1,58,1,28.0,1,0,35810.0,26.0,85,0,0,False,False
0,47,1,12.0,0,1,2630.0,156.0,96,1,1,False,False
1,32,1,39.0,1,0,2630.0,156.0,297,0,0,False,False
0,27,1,11.0,1,0,35783.0,152.0,218,0,0,True,False
0,63,1,28.0,0,1,47468.0,122.0,138,0,0,False,False
1,48,1,48.0,0,1,2630.0,26.0,185,1,1,False,False
0,53,1,28.0,0,1,42146.0,122.0,88,0,0,False,False
0,21,1,46.0,1,0,36812.0,152.0,50,0,0,True,False
1,26,1,8.0,1,0,44098.0,152.0,224,0,0,True,False
1,27,1,44.0,1,0,46538.0,152.0,217,0,0,True,False
0,55,1,46.0,1,0,24055.0,30.0,212,0,0,False,False
1,69,1,8.0,1,1,29264.0,124.0,196,0,0,False,False
1,25,1,30.0,0,0,40305.0,152.0,193,0,0,True,False
0,20,1,46.0,1,0,32216.0,160.0,38,0,0,True,False
0,59,1,28.0,1,0,27411.0,26.0,154,0,0,False,False
1,45,1,29.0,1,0,67786.0,124.0,252,0,0,False,False
1,24,1,39.0,1,0,33779.0,152.0,229,0,0,True,False
0,24,1,8.0,0,0,2630.0,160.0,294,0,0,True,False
0,47,1,28.0,0,1,47115.0,26.0,255,0,0,False,False
1,44,1,8.0,0,1,36385.0,124.0,173,0,0,False,False
1,27,1,15.0,1,1,40460.0,152.0,94,0,0,True,False
0,38,1,9.0,1,0,33656.0,122.0,275,0,0,False,False
1,22,1,46.0,1,0,31322.0,152.0,73,0,0,True,False
1,22,1,17.0,0,1,27832.0,152.0,290,0,0,True,False
1,52,1,28.0,0,1,40403.0,124.0,213,0,0,False,False
1,43,1,28.0,0,1,42186.0,26.0,42,1,1,False,True
0,37,1,12.0,1,0,25390.0,124.0,66,0,0,False,False
1,20,1,9.0,1,1,2630.0,160.0,110,0,0,True,False
0,40,1,28.0,0,1,48055.0,26.0,99,0,0,False,False
0,23,1,27.0,0,1,29807.0,152.0,86,0,0,True,False
1,53,1,7.0,0,1,84398.0,26.0,19,1,1,False,False
0,50,1,25.0,0,1,33963.0,124.0,258,0,0,False,False
0,35,1,15.0,0,1,2630.0,160.0,185,0,0,False,False
0,26,1,45.0,0,1,28234.0,152.0,251,0,0,True,False
1,23,1,41.0,1,0,41413.0,152.0,267,0,0,True,False
0,40,1,18.0,0,1,24365.0,26.0,119,0,0,False,False
0,23,1,8.0,1,0,45456.0,152.0,115,0,0,True,False
0,22,1,50.0,0,1,64196.0,152.0,53,0,0,True,False
1,49,1,41.0,1,0,32307.0,109.0,142,0,0,False,False
1,22,1,45.0,1,0,2630.0,152.0,18,0,0,True,False
1,24,1,6.0,1,0,35670.0,152.0,130,0,0,True,False
0,22,1,47.0,1,0,2630.0,152.0,60,0,0,True,False
0,25,1,46.0,1,0,25603.0,152.0,233,0,0,True,False
1,53,1,23.0,0,1,34867.0,26.0,113,0,0,False,False
1,51,1,8.0,0,1,2630.0,26.0,242,0,0,False,False
0,24,1,2.0,1,0,28775.0,152.0,166,0,0,True,False
0,23,1,37.0,1,0,43156.0,152.0,201,0,0,True,False
1,44,1,28.0,0,1,26448.0,26.0,123,0,0,False,False
0,23,1,8.0,0,1,2630.0,152.0,225,0,0,True,False
1,22,1,41.0,1,0,2630.0,160.0,82,0,0,True,False
1,45,1,28.0,0,1,27302.0,122.0,118,0,0,False,False
