id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
12721,Male,29,1,30.0,1,< 1 Year,No,25932.0,152.0,169,0
130905,Male,53,1,19.0,0,1-2 Year,Yes,36139.0,124.0,156,1
182390,Male,37,1,5.0,0,1-2 Year,Yes,37845.0,152.0,153,0
82326,Female,22,1,46.0,1,< 1 Year,No,43579.0,152.0,219,0
246968,Female,21,1,46.0,0,< 1 Year,Yes,26495.0,160.0,145,0
129220,Female,63,1,28.0,0,1-2 Year,Yes,49741.0,26.0,106,0
342327,Male,55,1,28.0,0,> 2 Years,Yes,55703.0,26.0,212,0
175865,Male,32,1,11.0,0,1-2 Year,Yes,26472.0,31.0,38,0
148344,Male,23,1,2.0,1,< 1 Year,No,30293.0,26.0,240,0
28780,Female,29,1,33.0,1,< 1 Year,No,32974.0,152.0,227,0
300354,Female,25,1,28.0,1,< 1 Year,No,37456.0,152.0,297,0
104581,Female,53,1,28.0,0,1-2 Year,Yes,36274.0,152.0,66,0
261583,Female,42,1,28.0,1,1-2 Year,No,42672.0,125.0,83,0
371849,Male,30,1,9.0,1,1-2 Year,No,23999.0,26.0,216,0
199171,Female,33,1,50.0,1,< 1 Year,No,48875.0,152.0,169,0
244704,Female,22,1,46.0,1,< 1 Year,No,27528.0,152.0,109,0
318196,Female,47,1,28.0,0,> 2 Years,Yes,59426.0,26.0,187,0
3575,Female,48,1,48.0,0,1-2 Year,No,2630.0,118.0,89,0
344531,Female,70,1,28.0,0,1-2 Year,Yes,28985.0,124.0,74,0
63925,Female,22,1,47.0,1,< 1 Year,No,29222.0,152.0,84,0
61723,Female,23,1,37.0,0,< 1 Year,Yes,47455.0,152.0,129,0
115421,Female,26,1,15.0,1,< 1 Year,No,38187.0,152.0,108,0
100799,Male,23,1,3.0,1,< 1 Year,No,35235.0,152.0,185,0
128573,Male,25,1,33.0,1,< 1 Year,No,48428.0,151.0,70,0
169410,Male,24,1,7.0,0,< 1 Year,Yes,64132.0,152.0,54,0
44155,Male,60,1,28.0,1,1-2 Year,No,42882.0,13.0,54,0
30603,Male,30,1,50.0,1,< 1 Year,No,2630.0,152.0,50,0
133870,Male,55,1,28.0,0,1-2 Year,Yes,29622.0,124.0,262,1
171554,Male,27,1,45.0,0,< 1 Year,Yes,28392.0,26.0,115,1
191010,Female,28,1,28.0,0,1-2 Year,Yes,44395.0,24.0,289,0
231253,Male,36,1,31.0,0,1-2 Year,Yes,2630.0,124.0,178,1
134430,Female,39,1,29.0,0,1-2 Year,Yes,29996.0,124.0,84,0
263057,Male,27,1,8.0,1,< 1 Year,No,25662.0,152.0,272,0
324340,Male,27,1,15.0,0,< 1 Year,Yes,2630.0,152.0,113,0
5059,Female,43,1,28.0,0,1-2 Year,Yes,26315.0,124.0,193,0
337712,Male,65,1,41.0,0,> 2 Years,Yes,47508.0,124.0,110,0
311551,Male,29,1,28.0,1,< 1 Year,No,44311.0,152.0,232,0
209590,Female,27,1,33.0,1,< 1 Year,No,37408.0,152.0,116,0
300216,Female,64,1,8.0,0,1-2 Year,Yes,2630.0,3.0,180,0
98661,Female,78,1,8.0,0,1-2 Year,Yes,2630.0,25.0,248,0
10184,Female,40,1,41.0,0,1-2 Year,Yes,49105.0,12.0,146,0
55690,Male,36,1,43.0,0,1-2 Year,Yes,34253.0,156.0,238,0
211622,Male,76,1,8.0,1,1-2 Year,No,51248.0,7.0,196,0
294299,Female,41,1,41.0,0,1-2 Year,No,2630.0,124.0,184,0
123888,Female,27,1,18.0,1,< 1 Year,No,38302.0,152.0,267,0
46668,Male,46,1,28.0,1,1-2 Year,No,35817.0,25.0,36,0
171334,Male,48,1,28.0,0,1-2 Year,Yes,47870.0,156.0,242,1
173683,Male,25,1,30.0,1,< 1 Year,No,25761.0,152.0,57,0
55162,Male,35,1,35.0,0,1-2 Year,Yes,34326.0,124.0,278,1
151183,Male,55,1,3.0,0,1-2 Year,Yes,2630.0,124.0,103,1
50238,Female,70,1,46.0,0,1-2 Year,Yes,33756.0,11.0,47,0
78613,Female,64,1,29.0,1,1-2 Year,No,30211.0,152.0,41,0
146473,Female,61,1,47.0,0,1-2 Year,Yes,32956.0,124.0,286,1
160908,Female,48,1,26.0,1,1-2 Year,No,28250.0,26.0,260,0
279207,Male,40,1,3.0,0,1-2 Year,Yes,35432.0,154.0,92,0
80009,Male,52,1,28.0,0,1-2 Year,Yes,28917.0,26.0,239,0
322748,Female,25,1,3.0,1,< 1 Year,No,36020.0,152.0,37,0
289236,Female,40,1,28.0,0,1-2 Year,Yes,30633.0,124.0,134,1
78929,Female,32,1,35.0,1,< 1 Year,No,25577.0,152.0,262,0
90905,Male,22,1,22.0,0,< 1 Year,No,2630.0,160.0,252,0
316559,Male,23,1,29.0,1,< 1 Year,No,26921.0,152.0,187,0
319454,Female,56,1,28.0,0,> 2 Years,Yes,46970.0,122.0,197,0
153612,Male,23,1,46.0,1,< 1 Year,No,2630.0,152.0,186,0
145209,Male,30,1,33.0,1,1-2 Year,No,29179.0,26.0,256,0
235905,Male,30,1,28.0,0,1-2 Year,Yes,39191.0,26.0,239,0
81080,Female,20,1,45.0,0,< 1 Year,Yes,24249.0,160.0,204,0
183189,Female,25,1,28.0,1,< 1 Year,No,40971.0,152.0,142,0
274811,Female,21,1,8.0,1,< 1 Year,Yes,46320.0,152.0,73,0
64981,Female,44,1,28.0,0,1-2 Year,Yes,43965.0,45.0,84,1
340883,Female,30,1,33.0,1,< 1 Year,No,30437.0,152.0,52,0
78842,Male,21,1,6.0,0,< 1 Year,Yes,23300.0,152.0,195,0
17483,Female,48,1,28.0,0,1-2 Year,Yes,47857.0,26.0,33,1
304522,Male,25,1,32.0,0,< 1 Year,Yes,24506.0,152.0,229,0
106099,Male,27,1,28.0,1,< 1 Year,No,69879.0,152.0,41,0
180051,Male,43,1,46.0,0,1-2 Year,Yes,34706.0,26.0,53,0
303658,Female,36,1,38.0,0,1-2 Year,Yes,39119.0,124.0,100,0
104100,Male,20,1,47.0,0,< 1 Year,Yes,47489.0,160.0,93,0
363629,Male,53,1,23.0,0,1-2 Year,Yes,2630.0,26.0,187,1
206994,Female,44,1,46.0,1,1-2 Year,No,45089.0,124.0,18,0
233882,Female,44,1,33.0,0,1-2 Year,Yes,35855.0,132.0,234,0
199991,Female,22,1,44.0,0,< 1 Year,Yes,2630.0,160.0,36,0
256344,Female,29,1,18.0,1,< 1 Year,No,29399.0,152.0,62,0
154096,Male,46,1,28.0,0,1-2 Year,Yes,2630.0,156.0,283,1
333132,Female,42,1,28.0,1,1-2 Year,No,35168.0,31.0,204,0
46586,Female,24,1,6.0,0,< 1 Year,No,26576.0,152.0,127,0
12554,Male,22,1,6.0,0,< 1 Year,Yes,32886.0,152.0,77,1
202315,Male,42,1,28.0,0,> 2 Years,Yes,50589.0,26.0,110,0
177303,Female,54,1,46.0,1,1-2 Year,No,2630.0,21.0,250,0
134032,Female,70,1,2.0,1,1-2 Year,No,28551.0,130.0,222,0
102363,Female,24,1,34.0,0,< 1 Year,Yes,29323.0,152.0,112,0
174724,Female,35,1,28.0,0,1-2 Year,Yes,42155.0,26.0,95,0
267416,Male,45,1,28.0,0,1-2 Year,Yes,27302.0,122.0,118,0
332764,Female,58,1,19.0,0,1-2 Year,Yes,35722.0,157.0,224,1
359764,Male,23,1,26.0,1,< 1 Year,No,37712.0,152.0,82,0
276810,Female,28,1,15.0,0,< 1 Year,Yes,41996.0,152.0,222,0
146911,Female,39,1,10.0,0,1-2 Year,Yes,34045.0,124.0,90,1
52106,Female,57,1,28.0,0,> 2 Years,Yes,54522.0,26.0,213,0
133376,Male,23,1,41.0,1,< 1 Year,No,28714.0,152.0,167,0
265860,Female,23,1,47.0,1,< 1 Year,No,34564.0,152.0,146,0
276880,Female,33,1,28.0,0,1-2 Year,Yes,31354.0,157.0,23,0
27036,Female,37,1,50.0,1,1-2 Year,No,26567.0,160.0,248,0
250385,Male,58,1,8.0,0,1-2 Year,Yes,38565.0,30.0,125,0
157004,Male,69,1,10.0,0,1-2 Year,Yes,23609.0,26.0,113,0
10575,Male,73,1,24.0,0,1-2 Year,Yes,32964.0,145.0,57,0
94257,Female,23,1,11.0,1,< 1 Year,No,33798.0,152.0,270,0
85463,Female,66,1,28.0,0,> 2 Years,Yes,33781.0,26.0,253,0
270614,Male,26,1,21.0,1,< 1 Year,No,27693.0,152.0,186,0
9938,Male,22,1,41.0,0,< 1 Year,No,47034.0,152.0,277,0
285296,Female,21,1,46.0,0,< 1 Year,Yes,57059.0,160.0,274,0
263689,Male,52,1,11.0,0,> 2 Years,Yes,34581.0,124.0,270,0
15758,Male,24,1,11.0,1,< 1 Year,No,26421.0,152.0,294,0
283019,Male,55,1,28.0,1,1-2 Year,No,55942.0,122.0,210,0
116360,Male,24,1,11.0,1,< 1 Year,No,52669.0,152.0,122,0
71304,Male,50,1,8.0,0,> 2 Years,Yes,46463.0,124.0,209,1
42423,Male,48,1,46.0,1,1-2 Year,No,27057.0,124.0,84,0
105702,Female,68,1,45.0,0,> 2 Years,Yes,2630.0,26.0,23,0
193294,Female,43,1,28.0,0,1-2 Year,Yes,30329.0,157.0,288,0
60943,Female,31,1,10.0,1,< 1 Year,No,2630.0,152.0,57,0
28306,Female,20,1,35.0,0,< 1 Year,No,2630.0,160.0,249,0
158435,Female,78,1,30.0,0,1-2 Year,Yes,2630.0,26.0,121,0
150276,Female,55,1,28.0,0,1-2 Year,Yes,40007.0,124.0,78,0
257915,Male,24,1,8.0,1,< 1 Year,No,29163.0,26.0,250,0
342553,Female,65,1,28.0,0,1-2 Year,Yes,58870.0,124.0,131,0
296767,Female,49,1,28.0,0,1-2 Year,Yes,66389.0,124.0,129,0
214076,Male,21,1,47.0,0,< 1 Year,Yes,30874.0,152.0,149,0
360782,Male,41,1,46.0,0,1-2 Year,Yes,2630.0,124.0,29,0
346861,Female,22,1,47.0,1,< 1 Year,No,35925.0,152.0,293,0
273310,Female,33,1,28.0,0,1-2 Year,Yes,2630.0,122.0,170,0
307055,Male,57,1,28.0,0,1-2 Year,Yes,43411.0,13.0,106,0
297532,Male,38,1,28.0,0,1-2 Year,Yes,40699.0,26.0,224,0
154705,Female,24,1,36.0,0,< 1 Year,No,2630.0,26.0,65,0
240664,Female,27,1,11.0,1,< 1 Year,No,47460.0,152.0,175,0
351747,Female,42,1,28.0,0,1-2 Year,Yes,41993.0,122.0,60,0
107584,Female,54,1,46.0,1,1-2 Year,No,36220.0,124.0,222,0
254654,Female,43,1,28.0,0,1-2 Year,Yes,36432.0,124.0,50,1
304819,Female,22,1,8.0,1,< 1 Year,No,41198.0,152.0,282,0
321647,Male,64,1,23.0,0,1-2 Year,Yes,28602.0,26.0,244,0
163797,Female,39,1,28.0,0,1-2 Year,No,42875.0,26.0,183,0
336240,Female,61,1,28.0,0,1-2 Year,Yes,46896.0,125.0,118,0
165824,Male,46,1,25.0,0,1-2 Year,Yes,33500.0,163.0,205,0
18553,Female,63,1,46.0,0,1-2 Year,No,41321.0,11.0,294,0
206105,Male,29,1,8.0,0,< 1 Year,Yes,48047.0,152.0,164,0
303227,Female,29,1,4.0,0,1-2 Year,Yes,2630.0,156.0,107,0
230709,Male,47,1,0.0,0,> 2 Years,Yes,2630.0,26.0,296,0
272948,Female,26,1,4.0,1,< 1 Year,No,50080.0,152.0,184,0
206848,Female,23,1,29.0,1,< 1 Year,No,34685.0,152.0,169,0
222003,Female,44,1,28.0,0,1-2 Year,Yes,55895.0,26.0,32,0
55211,Female,27,1,46.0,1,< 1 Year,No,29033.0,152.0,143,0
139660,Male,46,1,28.0,0,1-2 Year,Yes,46022.0,26.0,63,0
363199,Male,44,1,28.0,1,1-2 Year,Yes,36830.0,124.0,167,0
282995,Male,20,1,2.0,1,< 1 Year,No,23052.0,160.0,20,0
309104,Female,23,1,11.0,1,< 1 Year,No,37014.0,152.0,232,0
319002,Male,21,1,8.0,0,< 1 Year,Yes,45031.0,160.0,245,0
292983,Female,21,1,8.0,0,< 1 Year,Yes,77479.0,160.0,297,0
372841,Male,43,1,8.0,0,1-2 Year,Yes,37964.0,124.0,113,0
146741,Male,74,1,39.0,1,1-2 Year,No,31618.0,124.0,207,0
223841,Male,29,1,47.0,0,< 1 Year,Yes,25198.0,26.0,131,0
279895,Male,45,1,50.0,0,1-2 Year,No,27245.0,150.0,210,0
145818,Male,25,1,5.0,1,< 1 Year,No,29465.0,152.0,216,0
136081,Male,42,1,35.0,1,1-2 Year,No,24190.0,124.0,73,0
115303,Male,50,1,28.0,0,> 2 Years,Yes,49993.0,26.0,238,1
105304,Female,50,1,46.0,1,1-2 Year,No,34327.0,124.0,105,0
64694,Female,21,1,32.0,1,< 1 Year,No,29681.0,152.0,193,0
348557,Female,24,1,11.0,1,< 1 Year,No,31248.0,152.0,25,0
28324,Male,50,1,38.0,0,1-2 Year,Yes,33062.0,155.0,248,0
255105,Male,51,1,8.0,0,1-2 Year,Yes,2630.0,26.0,242,0
330348,Male,21,1,46.0,0,< 1 Year,No,2630.0,1.0,292,0
358541,Female,42,1,28.0,0,> 2 Years,Yes,2630.0,124.0,64,0
85038,Male,62,1,29.0,1,1-2 Year,No,41405.0,124.0,88,0
73122,Female,44,1,28.0,0,1-2 Year,Yes,46350.0,26.0,56,1
227803,Female,31,1,8.0,0,< 1 Year,No,45832.0,152.0,131,0
279757,Male,24,1,46.0,1,< 1 Year,No,22676.0,152.0,217,0
260257,Male,57,1,28.0,0,1-2 Year,Yes,79001.0,3.0,39,0
242051,Male,29,1,12.0,0,< 1 Year,Yes,25352.0,156.0,244,0
192991,Female,48,1,3.0,1,1-2 Year,No,28904.0,124.0,198,0
10065,Male,28,1,39.0,0,< 1 Year,Yes,30864.0,26.0,290,0
66145,Male,42,1,28.0,0,1-2 Year,Yes,27490.0,124.0,51,0
71121,Female,22,1,40.0,1,< 1 Year,No,25750.0,152.0,202,0
210416,Male,54,1,8.0,0,< 1 Year,Yes,45663.0,124.0,97,1
117118,Male,35,1,28.0,0,1-2 Year,Yes,51303.0,122.0,156,1
118644,Female,26,1,41.0,1,< 1 Year,No,2630.0,151.0,130,0
31083,Male,63,1,41.0,1,1-2 Year,No,2630.0,26.0,173,0
357733,Male,23,1,28.0,1,1-2 Year,Yes,41075.0,26.0,152,0
162753,Female,20,1,22.0,0,< 1 Year,Yes,37614.0,160.0,175,0
158319,Male,21,1,9.0,1,< 1 Year,No,2630.0,152.0,267,0
356237,Female,25,1,14.0,1,< 1 Year,No,25486.0,152.0,144,0
237080,Male,31,1,35.0,0,< 1 Year,Yes,18026.0,152.0,168,1
84828,Male,21,1,46.0,0,< 1 Year,No,37047.0,160.0,168,0
227852,Female,36,1,8.0,1,1-2 Year,No,40818.0,152.0,13,0
271354,Male,46,1,28.0,0,1-2 Year,Yes,38976.0,26.0,298,0
152598,Male,56,1,28.0,1,1-2 Year,No,53235.0,122.0,51,0
110525,Male,50,1,33.0,0,1-2 Year,Yes,18967.0,26.0,26,0
66824,Male,52,1,28.0,0,1-2 Year,Yes,42568.0,26.0,130,1
25778,Female,49,1,26.0,0,1-2 Year,Yes,28430.0,26.0,127,1
47060,Male,52,1,15.0,1,1-2 Year,No,28353.0,122.0,127,0
141106,Male,45,1,15.0,0,1-2 Year,No,28647.0,124.0,94,0
86405,Female,58,1,28.0,0,1-2 Year,Yes,40481.0,124.0,101,0
204561,Male,64,1,28.0,1,1-2 Year,No,33023.0,124.0,249,0
122661,Male,45,1,43.0,0,1-2 Year,Yes,32292.0,124.0,41,0
78861,Female,25,1,47.0,0,< 1 Year,Yes,2630.0,152.0,225,0
13169,Female,24,1,6.0,1,< 1 Year,No,26704.0,152.0,79,0
245582,Male,40,1,38.0,1,1-2 Year,No,26371.0,124.0,170,0
120982,Male,23,1,41.0,1,< 1 Year,No,62379.0,152.0,286,0
211389,Male,25,1,3.0,0,< 1 Year,No,36182.0,152.0,64,0
43137,Male,24,1,47.0,0,< 1 Year,No,2630.0,152.0,96,0
239302,Female,49,1,50.0,1,1-2 Year,No,45755.0,18.0,191,0
187184,Female,55,1,0.0,0,1-2 Year,Yes,2630.0,26.0,288,0
333812,Female,38,1,11.0,0,> 2 Years,Yes,2630.0,157.0,229,1
28032,Female,40,1,21.0,0,1-2 Year,Yes,2630.0,157.0,202,0
73457,Male,54,1,8.0,0,> 2 Years,Yes,42440.0,26.0,186,1
320578,Male,22,1,46.0,1,< 1 Year,No,25126.0,152.0,100,0
132092,Male,43,1,4.0,0,1-2 Year,Yes,36384.0,26.0,262,0
44634,Male,74,1,37.0,0,1-2 Year,Yes,16998.0,124.0,87,0
194930,Male,40,1,38.0,1,1-2 Year,No,47445.0,26.0,212,0
99040,Female,50,1,33.0,0,> 2 Years,Yes,35329.0,156.0,256,0
378022,Female,29,1,15.0,1,< 1 Year,No,28234.0,152.0,84,0
206586,Male,28,1,35.0,1,< 1 Year,No,2630.0,160.0,273,0
349019,Female,26,1,33.0,1,< 1 Year,No,42943.0,151.0,37,0
231708,Male,40,1,36.0,0,1-2 Year,Yes,24833.0,124.0,245,0
346236,Female,34,1,18.0,1,1-2 Year,No,2630.0,124.0,85,0
140831,Male,38,1,48.0,0,> 2 Years,Yes,2630.0,156.0,23,0
220388,Female,26,1,15.0,1,< 1 Year,No,26273.0,152.0,90,0
214337,Female,73,1,46.0,0,1-2 Year,No,2630.0,26.0,294,0
376708,Female,29,1,21.0,1,< 1 Year,No,14911.0,152.0,274,0
246055,Female,55,1,28.0,0,1-2 Year,Yes,2630.0,26.0,296,0
107581,Female,43,1,48.0,1,1-2 Year,No,2630.0,15.0,68,0
260610,Male,59,1,3.0,0,1-2 Year,Yes,21432.0,124.0,36,1
109992,Male,30,1,8.0,1,1-2 Year,No,32797.0,26.0,211,0
87195,Male,53,1,11.0,0,1-2 Year,Yes,2630.0,26.0,160,1
156376,Male,26,1,33.0,1,< 1 Year,No,39000.0,152.0,126,0
219434,Male,58,1,35.0,0,1-2 Year,Yes,35690.0,26.0,92,0
145329,Female,20,1,34.0,0,< 1 Year,Yes,57092.0,160.0,100,0
265175,Female,27,1,41.0,1,< 1 Year,No,31261.0,152.0,169,0
353515,Male,61,1,8.0,1,1-2 Year,No,59089.0,26.0,262,0
147316,Female,27,1,10.0,1,< 1 Year,No,26456.0,152.0,76,0
121695,Male,23,1,46.0,1,< 1 Year,No,31174.0,152.0,123,0
193714,Female,59,1,15.0,0,1-2 Year,Yes,2630.0,156.0,211,0
292879,Male,44,1,0.0,0,1-2 Year,Yes,2630.0,124.0,178,0
50797,Male,48,1,28.0,0,> 2 Years,Yes,39154.0,29.0,162,0
202605,Female,32,1,8.0,0,1-2 Year,Yes,21956.0,124.0,240,1
119561,Female,39,1,0.0,1,1-2 Year,No,2630.0,26.0,145,0
273474,Male,28,1,8.0,1,< 1 Year,No,61626.0,26.0,240,0
348374,Male,26,1,41.0,1,< 1 Year,No,39414.0,152.0,30,0
361545,Female,22,1,8.0,0,< 1 Year,Yes,42742.0,152.0,19,0
5719,Female,25,1,28.0,1,< 1 Year,No,42984.0,152.0,229,0
167653,Female,44,0,27.0,1,1-2 Year,No,27999.0,124.0,261,0
53491,Male,38,1,28.0,0,1-2 Year,Yes,54534.0,122.0,146,0
313668,Female,31,1,8.0,1,< 1 Year,No,30787.0,152.0,226,0
23701,Male,69,1,14.0,0,1-2 Year,Yes,38361.0,26.0,244,0
315132,Male,68,1,28.0,0,1-2 Year,Yes,57625.0,124.0,18,0
129430,Male,27,1,17.0,1,< 1 Year,No,31005.0,152.0,256,0
134928,Female,21,1,46.0,1,< 1 Year,No,29350.0,152.0,235,0
53785,Male,34,1,30.0,1,1-2 Year,No,27933.0,152.0,176,0
368121,Female,51,1,28.0,0,1-2 Year,Yes,33706.0,122.0,26,0
132575,Male,32,1,10.0,1,< 1 Year,No,2630.0,152.0,77,0
336261,Male,25,1,41.0,1,< 1 Year,No,36705.0,152.0,170,0
348822,Female,52,1,31.0,1,1-2 Year,No,2630.0,26.0,136,0
270370,Male,24,1,41.0,1,< 1 Year,Yes,32293.0,152.0,210,0
364791,Male,60,1,50.0,1,1-2 Year,No,54555.0,8.0,68,0
16280,Male,65,1,7.0,0,1-2 Year,Yes,33889.0,26.0,273,0
66085,Female,21,1,7.0,1,< 1 Year,No,2630.0,152.0,181,0
253761,Female,45,1,46.0,0,> 2 Years,Yes,42172.0,26.0,45,1
92905,Male,46,1,41.0,1,1-2 Year,No,30010.0,26.0,129,0
51102,Male,73,1,28.0,0,1-2 Year,Yes,48707.0,37.0,20,0
119451,Female,48,1,46.0,0,1-2 Year,Yes,2630.0,26.0,143,1
31926,Male,56,1,28.0,0,1-2 Year,Yes,2630.0,52.0,186,0
106805,Female,26,1,3.0,1,< 1 Year,Yes,2630.0,152.0,102,0
261362,Male,61,1,28.0,1,1-2 Year,No,45557.0,13.0,93,0
200490,Male,71,1,28.0,1,1-2 Year,No,36922.0,122.0,229,0
132628,Male,50,1,31.0,1,1-2 Year,No,2630.0,148.0,55,0
142221,Male,75,1,46.0,0,1-2 Year,Yes,31346.0,124.0,59,0
265515,Male,52,1,46.0,0,> 2 Years,Yes,34822.0,26.0,72,1
247464,Male,23,1,15.0,1,< 1 Year,No,27410.0,152.0,258,0
363401,Male,54,1,3.0,0,1-2 Year,Yes,27095.0,26.0,166,0
287362,Female,32,1,37.0,0,< 1 Year,Yes,34297.0,152.0,146,0
198405,Female,42,1,8.0,1,1-2 Year,Yes,27837.0,124.0,129,0
218065,Male,23,1,9.0,0,< 1 Year,Yes,49633.0,151.0,56,0
77525,Male,41,1,8.0,0,1-2 Year,Yes,48604.0,124.0,200,0
50812,Female,41,1,28.0,0,1-2 Year,Yes,38461.0,26.0,197,0
217698,Male,39,1,4.0,0,1-2 Year,Yes,27214.0,156.0,273,0
177691,Male,55,0,28.0,0,1-2 Year,Yes,67935.0,26.0,195,0
325273,Male,32,1,16.0,0,1-2 Year,Yes,2630.0,156.0,297,1
